time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004832,0.1639,0.0817,-0.2091,0.278
0.006154,0.1639,0.0817,-0.2091,0.278
0.012995,0.1096,0.1460,0.2152,0.282
0.015099,0.1096,0.1460,0.2152,0.282
0.040256,0.0457,-0.0389,0.0948,0.112
0.041930,0.0457,-0.0389,0.0948,0.112
0.060379,0.0209,-0.0395,0.1666,0.172
0.061598,0.0209,-0.0395,0.1666,0.172
0.092051,-0.0446,0.1974,-0.0053,0.202
0.093132,-0.0446,0.1974,-0.0053,0.202
0.093749,-0.0373,0.1919,0.0902,0.215
0.094114,-0.0373,0.1919,0.0902,0.215
0.111099,0.0920,0.0185,0.1215,0.153
0.112131,0.0920,0.0185,0.1215,0.153
0.128765,0.0556,-0.0646,0.1743,0.194
0.129658,0.0556,-0.0646,0.1743,0.194
0.160358,-0.0014,0.0238,0.1189,0.121
0.162252,-0.0014,0.0238,0.1189,0.121
0.182967,0.0158,0.0414,0.2147,0.219
0.184558,0.0158,0.0414,0.2147,0.219
0.192262,0.0593,0.0543,0.1636,0.182
0.193510,0.0593,0.0543,0.1636,0.182
0.208964,0.0445,-0.0028,0.1323,0.140
0.210406,0.0445,-0.0028,0.1323,0.140
0.240847,0.0331,-0.0224,0.1590,0.164
0.242433,0.0331,-0.0224,0.1590,0.164
0.249173,0.0164,-0.0155,0.1514,0.153
0.250600,0.0164,-0.0155,0.1514,0.153
0.271201,-0.0045,0.0104,0.0974,0.098
0.272566,-0.0045,0.0104,0.0974,0.098
0.289633,-0.0240,0.0496,0.0506,0.075
0.292254,-0.0240,0.0496,0.0506,0.075
0.308531,-0.0509,0.0217,0.1294,0.141
0.310860,-0.0509,0.0217,0.1294,0.141
0.328411,-0.0396,0.0006,0.1448,0.150
0.329740,-0.0396,0.0006,0.1448,0.150
0.357123,-0.0349,-0.0002,0.1232,0.128
0.358698,-0.0349,-0.0002,0.1232,0.128
0.368677,-0.0022,-0.0090,0.1403,0.141
0.369630,-0.0022,-0.0090,0.1403,0.141
0.388723,-0.0380,0.0529,0.1351,0.150
0.390443,-0.0380,0.0529,0.1351,0.150
0.410061,-0.0255,0.0987,0.1500,0.181
0.411995,-0.0255,0.0987,0.1500,0.181
0.428715,0.0157,0.0091,0.1500,0.151
0.429603,0.0157,0.0091,0.1500,0.151
0.458026,0.0093,0.0045,0.1161,0.117
0.459329,0.0093,0.0045,0.1161,0.117
0.468458,0.0016,0.0268,0.1301,0.133
0.469264,0.0016,0.0268,0.1301,0.133
0.488790,0.0077,0.0420,0.1180,0.126
0.490234,0.0077,0.0420,0.1180,0.126
0.514076,-0.0041,0.0701,0.1571,0.172
0.515561,-0.0041,0.0701,0.1571,0.172
0.528576,-0.0050,0.0275,0.1042,0.108
0.529636,-0.0050,0.0275,0.1042,0.108
0.551798,-0.0118,0.0335,0.1184,0.124
0.552805,-0.0118,0.0335,0.1184,0.124
0.568649,-0.0197,-0.0075,0.0396,0.045
0.570279,-0.0197,-0.0075,0.0396,0.045
0.588930,-0.0526,0.0577,0.1857,0.201
0.590963,-0.0526,0.0577,0.1857,0.201
0.609541,-0.0583,0.0614,0.1599,0.181
0.611092,-0.0583,0.0614,0.1599,0.181
0.628478,-0.0700,0.0076,-0.3308,0.338
0.630420,-0.0700,0.0076,-0.3308,0.338
0.648553,0.0190,-0.0454,0.4813,0.484
0.649783,0.0190,-0.0454,0.4813,0.484
0.673841,-0.0134,0.0967,0.0364,0.104
0.675428,-0.0134,0.0967,0.0364,0.104
0.688759,-0.0854,0.0889,0.1945,0.230
0.689787,-0.0854,0.0889,0.1945,0.230
0.708879,0.0440,-0.0271,0.0886,0.103
0.710307,0.0440,-0.0271,0.0886,0.103
0.732800,0.0063,0.0186,0.1586,0.160
0.734682,0.0063,0.0186,0.1586,0.160
0.748677,-0.0127,0.0780,0.0937,0.123
0.750043,-0.0127,0.0780,0.0937,0.123
0.768497,-0.0114,0.0861,0.1319,0.158
0.770273,-0.0114,0.0861,0.1319,0.158
0.796265,0.0139,0.0109,0.1751,0.176
0.798305,0.0139,0.0109,0.1751,0.176
