time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004633,0.6192,-0.1722,-0.9230,1.125
0.006407,0.6192,-0.1722,-0.9230,1.125
0.010518,0.2845,-0.0463,0.0428,0.291
0.011479,0.2845,-0.0463,0.0428,0.291
0.029849,-0.1344,0.0954,0.1955,0.256
0.030904,-0.1344,0.0954,0.1955,0.256
0.049507,-0.1689,0.1335,-0.0030,0.215
0.050528,-0.1689,0.1335,-0.0030,0.215
0.071939,0.0873,0.1388,0.1630,0.231
0.074526,0.0873,0.1388,0.1630,0.231
0.089753,0.1362,-0.0479,0.0675,0.159
0.090910,0.1362,-0.0479,0.0675,0.159
0.108501,-0.1310,-0.0236,-0.0222,0.135
0.109526,-0.1310,-0.0236,-0.0222,0.135
0.136447,-0.2101,0.0744,-0.0428,0.227
0.137821,-0.2101,0.0744,-0.0428,0.227
0.150094,0.0246,0.0773,0.0203,0.084
0.151912,0.0246,0.0773,0.0203,0.084
0.174283,0.0353,0.0363,0.0056,0.051
0.176128,0.0353,0.0363,0.0056,0.051
0.189905,-0.0722,-0.0885,0.0658,0.132
0.191547,-0.0722,-0.0885,0.0658,0.132
0.209834,-0.0374,-0.1453,0.0952,0.178
0.211384,-0.0374,-0.1453,0.0952,0.178
0.230087,-0.2000,0.0996,0.0153,0.224
0.232066,-0.2000,0.0996,0.0153,0.224
0.249504,-0.1760,0.2048,0.0044,0.270
0.251443,-0.1760,0.2048,0.0044,0.270
0.272745,-0.0326,0.1283,0.0525,0.142
0.275366,-0.0326,0.1283,0.0525,0.142
0.296002,0.1621,-0.1024,-0.0579,0.200
0.297658,0.1621,-0.1024,-0.0579,0.200
0.309919,0.0561,-0.0353,-0.0193,0.069
0.311864,0.0561,-0.0353,-0.0193,0.069
0.329283,-0.1340,0.1402,0.0661,0.205
0.331589,-0.1340,0.1402,0.0661,0.205
0.349824,0.0177,0.1403,0.0330,0.145
0.350943,0.0177,0.1403,0.0330,0.145
0.369301,0.0799,-0.1135,0.2551,0.290
0.370642,0.0799,-0.1135,0.2551,0.290
0.389401,-0.2395,0.0567,0.0691,0.256
0.390491,-0.2395,0.0567,0.0691,0.256
0.418185,-0.4173,0.1308,-0.0582,0.441
0.419780,-0.4173,0.1308,-0.0582,0.441
0.429133,-0.1191,0.0159,0.1296,0.177
0.429984,-0.1191,0.0159,0.1296,0.177
0.449494,0.1945,-0.1248,0.0549,0.238
0.450743,0.1945,-0.1248,0.0549,0.238
0.469308,-0.1627,-0.0713,0.0057,0.178
0.471313,-0.1627,-0.0713,0.0057,0.178
0.489125,-0.6417,0.1488,-0.1162,0.669
0.490750,-0.6417,0.1488,-0.1162,0.669
0.509960,-0.3342,0.2515,-0.1883,0.459
0.511672,-0.3342,0.2515,-0.1883,0.459
0.529663,0.3505,0.2128,-0.3691,0.552
0.530713,0.3505,0.2128,-0.3691,0.552
0.552022,0.8420,-0.0400,-0.2130,0.869
0.553968,0.8420,-0.0400,-0.2130,0.869
0.569205,0.8509,0.1085,0.1905,0.879
0.570508,0.8509,0.1085,0.1905,0.879
0.590210,0.5094,-0.0639,0.5220,0.732
0.591599,0.5094,-0.0639,0.5220,0.732
