time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004557,-0.1767,0.2067,-0.7148,0.765
0.006042,-0.1767,0.2067,-0.7148,0.765
0.011840,-0.2222,0.0952,-0.2632,0.357
0.012750,-0.2222,0.0952,-0.2632,0.357
0.042005,0.0330,-0.1126,-0.4078,0.424
0.044097,0.0330,-0.1126,-0.4078,0.424
0.060137,0.1121,0.0181,-0.2662,0.289
0.066862,0.1121,0.0181,-0.2662,0.289
0.071742,0.1958,0.1146,-0.2255,0.320
0.072416,0.1958,0.1146,-0.2255,0.320
0.091803,0.1628,0.1487,-0.1989,0.297
0.092796,0.1628,0.1487,-0.1989,0.297
0.112014,0.1929,0.1109,-0.0558,0.229
0.112981,0.1929,0.1109,-0.0558,0.229
0.132185,0.1456,0.0315,-0.0055,0.149
0.133658,0.1456,0.0315,-0.0055,0.149
0.153547,0.0338,0.1598,0.0229,0.165
0.154700,0.0338,0.1598,0.0229,0.165
0.171941,0.0587,-0.1043,0.1337,0.179
0.174168,0.0587,-0.1043,0.1337,0.179
0.194972,-0.1526,-0.1272,0.5567,0.591
0.196054,-0.1526,-0.1272,0.5567,0.591
0.215430,-0.2346,0.0667,0.6175,0.664
0.216623,-0.2346,0.0667,0.6175,0.664
0.232748,-0.2114,0.2201,0.2264,0.380
0.234273,-0.2114,0.2201,0.2264,0.380
0.251895,0.1077,-0.0023,-0.2633,0.284
0.252971,0.1077,-0.0023,-0.2633,0.284
0.271988,0.1081,-0.0772,-0.2207,0.258
0.275516,0.1081,-0.0772,-0.2207,0.258
0.291733,0.0667,0.0322,-0.1655,0.181
0.294201,0.0667,0.0322,-0.1655,0.181
0.311210,-0.1758,0.0396,-0.1916,0.263
0.311900,-0.1758,0.0396,-0.1916,0.263
0.342230,-0.2203,0.1485,-0.0727,0.275
0.343998,-0.2203,0.1485,-0.0727,0.275
0.351717,-0.1152,0.1987,-0.1343,0.266
0.352692,-0.1152,0.1987,-0.1343,0.266
0.373353,0.1352,-0.0814,-0.1510,0.218
0.374766,0.1352,-0.0814,-0.1510,0.218
0.392558,-0.0433,0.0384,-0.0849,0.103
0.394328,-0.0433,0.0384,-0.0849,0.103
0.412535,-0.0813,0.1002,0.0716,0.148
0.414240,-0.0813,0.1002,0.0716,0.148
0.432626,-0.0181,-0.0748,0.1009,0.127
0.434275,-0.0181,-0.0748,0.1009,0.127
0.451832,0.1122,0.1535,0.2090,0.283
0.452789,0.1122,0.1535,0.2090,0.283
0.479336,0.1758,0.2326,-0.1900,0.348
0.480962,0.1758,0.2326,-0.1900,0.348
0.491995,0.1417,0.2144,-0.3001,0.395
0.493043,0.1417,0.2144,-0.3001,0.395
0.511088,0.1093,-0.1276,0.3589,0.396
0.512602,0.1093,-0.1276,0.3589,0.396
0.532079,-0.0400,0.0887,0.2122,0.233
0.534771,-0.0400,0.0887,0.2122,0.233
0.552285,-0.0216,0.0850,-0.2554,0.270
0.554513,-0.0216,0.0850,-0.2554,0.270
0.571515,0.0822,-0.0684,-0.2503,0.272
0.573361,0.0822,-0.0684,-0.2503,0.272
0.591740,-0.0304,-0.1906,0.0337,0.196
0.592633,-0.0304,-0.1906,0.0337,0.196
0.614968,-0.0123,0.0089,0.2008,0.201
0.616928,-0.0123,0.0089,0.2008,0.201
0.633765,-0.0311,0.0822,0.1285,0.156
0.635401,-0.0311,0.0822,0.1285,0.156
0.651956,0.0065,0.1865,-0.0524,0.194
0.653595,0.0065,0.1865,-0.0524,0.194
0.670996,0.1618,-0.0171,-0.4464,0.475
0.672971,0.1618,-0.0171,-0.4464,0.475
0.695561,0.1695,-0.1013,-0.0618,0.207
0.696991,0.1695,-0.1013,-0.0618,0.207
0.711701,0.0447,-0.0534,0.2118,0.223
0.713168,0.0447,-0.0534,0.2118,0.223
0.731900,-0.1359,0.0067,0.0484,0.144
0.732847,-0.1359,0.0067,0.0484,0.144
0.756830,0.0399,0.3412,-0.2070,0.401
0.758678,0.0399,0.3412,-0.2070,0.401
0.787839,0.0988,0.1463,0.0168,0.177
0.789018,0.0988,0.1463,0.0168,0.177
0.793624,0.2022,-0.0808,0.1254,0.251
0.794553,0.2022,-0.0808,0.1254,0.251
0.812432,0.0542,-0.0685,0.0006,0.087
0.814726,0.0542,-0.0685,0.0006,0.087
0.835982,-0.1215,0.1323,-0.0400,0.184
0.837262,-0.1215,0.1323,-0.0400,0.184
0.850856,-0.0842,0.2105,-0.0204,0.228
0.851976,-0.0842,0.2105,-0.0204,0.228
0.870939,-0.0228,0.0611,-0.2679,0.276
0.871933,-0.0228,0.0611,-0.2679,0.276
0.895809,0.1193,-0.0885,0.1692,0.225
0.896959,0.1193,-0.0885,0.1692,0.225
0.911597,0.1245,-0.1175,-0.1602,0.234
0.913066,0.1245,-0.1175,-0.1602,0.234
0.931081,0.0803,-0.0287,-0.0122,0.086
0.932765,0.0803,-0.0287,-0.0122,0.086
0.951660,-0.1368,0.0927,-0.0339,0.169
