time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002894,-0.1726,-0.0814,-0.2918,0.349
0.003531,-0.1726,-0.0814,-0.2918,0.349
0.039309,0.0397,0.0805,0.2412,0.257
0.040747,0.0397,0.0805,0.2412,0.257
0.041274,0.0409,-0.0052,-0.0317,0.052
0.041685,0.0409,-0.0052,-0.0317,0.052
0.058175,0.1662,0.3076,-0.4010,0.532
0.058895,0.1662,0.3076,-0.4010,0.532
0.080186,0.0507,0.1636,0.0029,0.171
0.081313,0.0507,0.1636,0.0029,0.171
0.099545,0.2809,0.0143,0.3471,0.447
0.100180,0.2809,0.0143,0.3471,0.447
0.118752,0.1970,-0.2278,0.1450,0.334
0.119519,0.1970,-0.2278,0.1450,0.334
0.138151,0.0927,-0.1008,0.0614,0.150
0.138776,0.0927,-0.1008,0.0614,0.150
0.163242,0.0407,0.0131,0.1770,0.182
0.163934,0.0407,0.0131,0.1770,0.182
0.178734,0.1247,0.0869,0.2716,0.311
0.179539,0.1247,0.0869,0.2716,0.311
0.199035,0.1905,0.1133,0.2241,0.315
0.199789,0.1905,0.1133,0.2241,0.315
0.218269,0.1779,0.0329,0.1206,0.217
0.219007,0.1779,0.0329,0.1206,0.217
0.239373,0.1041,-0.0226,0.2965,0.315
0.240966,0.1041,-0.0226,0.2965,0.315
0.258554,0.2036,0.1085,0.0790,0.244
0.259479,0.2036,0.1085,0.0790,0.244
0.279898,0.4308,-0.0075,0.4171,0.600
0.281022,0.4308,-0.0075,0.4171,0.600
0.298594,0.3222,-0.0452,0.4284,0.538
0.299748,0.3222,-0.0452,0.4284,0.538
0.318586,0.2356,-0.1321,0.3763,0.463
0.319702,0.2356,-0.1321,0.3763,0.463
0.339973,0.2304,-0.1409,0.4673,0.540
0.341028,0.2304,-0.1409,0.4673,0.540
0.357814,0.4036,-0.1764,0.5659,0.717
0.359324,0.4036,-0.1764,0.5659,0.717
0.380620,0.6113,-0.1100,0.2182,0.658
0.382113,0.6113,-0.1100,0.2182,0.658
0.400006,0.5274,-0.1087,0.1882,0.570
0.401654,0.5274,-0.1087,0.1882,0.570
0.418235,0.3852,-0.0085,0.2582,0.464
0.418858,0.3852,-0.0085,0.2582,0.464
0.443225,0.4079,0.0821,0.3620,0.552
0.444301,0.4079,0.0821,0.3620,0.552
0.458679,0.4059,0.1853,0.3452,0.564
0.459598,0.4059,0.1853,0.3452,0.564
0.483361,0.3101,0.1049,0.1384,0.355
0.484591,0.3101,0.1049,0.1384,0.355
