time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005159,-0.2479,0.0367,0.1949,0.317
0.005775,-0.2479,0.0367,0.1949,0.317
0.006198,-0.3855,-0.0968,-0.0836,0.406
0.006726,-0.3855,-0.0968,-0.0836,0.406
0.034343,-0.3147,0.0409,0.0467,0.321
0.035213,-0.3147,0.0409,0.0467,0.321
0.049269,-0.1690,0.2768,0.0864,0.336
0.050203,-0.1690,0.2768,0.0864,0.336
0.064545,-0.0954,0.2594,-0.0113,0.277
0.065352,-0.0954,0.2594,-0.0113,0.277
0.084372,-0.0484,0.1015,0.1529,0.190
0.084970,-0.0484,0.1015,0.1529,0.190
0.105039,-0.2761,-0.2453,0.1150,0.387
0.106130,-0.2761,-0.2453,0.1150,0.387
0.127070,-0.5807,-0.3827,-0.3183,0.765
0.128243,-0.5807,-0.3827,-0.3183,0.765
0.144199,-0.3943,-0.0649,-0.0046,0.400
0.145014,-0.3943,-0.0649,-0.0046,0.400
0.164302,-0.3200,-0.0371,0.1559,0.358
0.165034,-0.3200,-0.0371,0.1559,0.358
0.184322,-0.1972,-0.3827,0.0030,0.431
0.184881,-0.1972,-0.3827,0.0030,0.431
0.205270,-0.1048,-0.4739,0.0920,0.494
0.206243,-0.1048,-0.4739,0.0920,0.494
0.228246,0.0639,-0.2974,0.0166,0.305
0.229047,0.0639,-0.2974,0.0166,0.305
0.244277,0.1577,-0.2333,-0.2501,0.377
0.245411,0.1577,-0.2333,-0.2501,0.377
0.264181,0.0810,-0.6337,-0.0172,0.639
0.265074,0.0810,-0.6337,-0.0172,0.639
0.285063,0.6001,-1.2468,-0.0362,1.384
0.286137,0.6001,-1.2468,-0.0362,1.384
0.304327,1.7889,-1.7650,-0.0856,2.514
0.306118,1.7889,-1.7650,-0.0856,2.514
0.324453,2.0429,-0.6998,-0.8496,2.321
0.325581,2.0429,-0.6998,-0.8496,2.321
0.346404,0.6627,0.2955,-0.1068,0.733
0.347502,0.6627,0.2955,-0.1068,0.733
0.365462,-0.9001,1.5341,0.0972,1.781
0.367292,-0.9001,1.5341,0.0972,1.781
0.384134,-0.0924,1.1744,-0.0902,1.181
0.384757,-0.0924,1.1744,-0.0902,1.181
0.404619,0.4293,0.2134,0.1358,0.498
0.405800,0.4293,0.2134,0.1358,0.498
0.424346,-0.2383,-0.1038,0.0618,0.267
0.424930,-0.2383,-0.1038,0.0618,0.267
0.448123,-0.5912,-0.0656,0.1382,0.611
0.449491,-0.5912,-0.0656,0.1382,0.611
0.464915,-0.0192,0.2139,0.3064,0.374
0.466702,-0.0192,0.2139,0.3064,0.374
0.484557,0.7789,0.5090,0.1752,0.947
0.485233,0.7789,0.5090,0.1752,0.947
0.504552,1.2781,0.2184,0.1797,1.309
0.506499,1.2781,0.2184,0.1797,1.309
0.523989,1.2166,-0.2502,0.2250,1.262
0.525006,1.2166,-0.2502,0.2250,1.262
0.545732,0.6549,-0.3404,-0.2694,0.786
0.546938,0.6549,-0.3404,-0.2694,0.786
0.565051,0.4391,-0.4082,-0.3146,0.677
0.566670,0.4391,-0.4082,-0.3146,0.677
0.584083,0.7900,-0.3815,-0.0402,0.878
0.584747,0.7900,-0.3815,-0.0402,0.878
0.604451,0.7316,-0.2913,-0.1083,0.795
0.606656,0.7316,-0.2913,-0.1083,0.795
0.623977,0.3143,-0.3818,-0.2285,0.545
0.624973,0.3143,-0.3818,-0.2285,0.545
0.643876,-0.1207,-0.6690,-0.2228,0.715
0.645091,-0.1207,-0.6690,-0.2228,0.715
0.664883,-0.1988,-0.9208,-0.1209,0.950
0.666428,-0.1988,-0.9208,-0.1209,0.950
0.683871,0.2316,-0.9238,0.2241,0.978
0.684430,0.2316,-0.9238,0.2241,0.978
0.704342,0.4674,-0.7081,0.4085,0.942
0.705851,0.4674,-0.7081,0.4085,0.942
0.724099,0.2084,-0.7539,0.7726,1.099
0.725133,0.2084,-0.7539,0.7726,1.099
0.744228,-0.3918,-0.9118,0.4813,1.103
0.745785,-0.3918,-0.9118,0.4813,1.103
0.764133,-1.0231,-0.7853,0.3740,1.343
0.765039,-1.0231,-0.7853,0.3740,1.343
