time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006321,0.0809,0.1412,-0.3325,0.370
0.007146,0.0809,0.1412,-0.3325,0.370
0.007739,0.0388,0.1599,0.0430,0.170
0.008184,0.0388,0.1599,0.0430,0.170
0.008468,0.0805,0.1457,-0.0764,0.183
0.008694,0.0805,0.1457,-0.0764,0.183
0.017135,0.1179,0.1074,-0.1554,0.223
0.017989,0.1179,0.1074,-0.1554,0.223
0.034170,0.3204,-0.0350,0.0603,0.328
0.034929,0.3204,-0.0350,0.0603,0.328
0.055793,0.2684,-0.0993,-0.2261,0.365
0.056692,0.2684,-0.0993,-0.2261,0.365
0.072476,0.0773,-0.0206,-0.0590,0.099
0.073217,0.0773,-0.0206,-0.0590,0.099
0.092210,0.0886,-0.0326,0.0768,0.122
0.093076,0.0886,-0.0326,0.0768,0.122
0.122815,-0.0961,0.0365,-0.0070,0.103
0.123541,-0.0961,0.0365,-0.0070,0.103
0.133401,-0.0233,0.0163,-0.0837,0.088
0.134435,-0.0233,0.0163,-0.0837,0.088
0.152133,0.0023,0.1590,0.1234,0.201
0.152970,0.0023,0.1590,0.1234,0.201
0.172880,-0.0767,0.2556,-0.0373,0.269
0.173825,-0.0767,0.2556,-0.0373,0.269
0.192287,0.0984,0.1882,-0.1135,0.241
0.193485,0.0984,0.1882,-0.1135,0.241
0.213230,0.0365,0.0555,0.0797,0.104
0.214280,0.0365,0.0555,0.0797,0.104
0.232866,-0.0917,0.1271,0.0568,0.167
0.233909,-0.0917,0.1271,0.0568,0.167
0.254146,-0.0686,0.1805,0.0024,0.193
0.255215,-0.0686,0.1805,0.0024,0.193
0.272367,0.1521,0.0463,0.1576,0.224
0.273280,0.1521,0.0463,0.1576,0.224
0.293584,-0.0554,0.2204,-0.0114,0.228
0.295040,-0.0554,0.2204,-0.0114,0.228
0.312889,-0.2064,0.2856,-0.2116,0.411
0.314549,-0.2064,0.2856,-0.2116,0.411
0.340211,-0.0660,0.2462,-0.0925,0.271
0.341816,-0.0660,0.2462,-0.0925,0.271
0.352644,0.1371,-0.0402,0.0201,0.144
0.354275,0.1371,-0.0402,0.0201,0.144
0.372366,0.1132,-0.1932,0.1140,0.251
0.373705,0.1132,-0.1932,0.1140,0.251
0.393099,-0.0807,-0.1581,0.2477,0.305
0.394116,-0.0807,-0.1581,0.2477,0.305
0.422721,0.0329,-0.1356,0.1675,0.218
0.423777,0.0329,-0.1356,0.1675,0.218
0.432382,0.1974,-0.0356,0.1816,0.271
0.433780,0.1974,-0.0356,0.1816,0.271
0.456009,-0.0601,0.2346,0.2917,0.379
0.457400,-0.0601,0.2346,0.2917,0.379
0.472203,-0.0687,-0.0208,0.2013,0.214
0.473881,-0.0687,-0.0208,0.2013,0.214
0.492559,-0.1713,0.0232,0.3102,0.355
0.494187,-0.1713,0.0232,0.3102,0.355
0.512597,-0.1894,0.2305,-0.0209,0.299
0.513883,-0.1894,0.2305,-0.0209,0.299
0.532345,-0.4013,0.3431,0.1202,0.542
0.533533,-0.4013,0.3431,0.1202,0.542
0.556604,-0.5842,0.7632,-0.4809,1.075
0.558073,-0.5842,0.7632,-0.4809,1.075
0.572842,0.1466,0.4424,-0.3724,0.597
0.574007,0.1466,0.4424,-0.3724,0.597
0.596407,0.4228,0.4185,-0.3716,0.701
0.598150,0.4228,0.4185,-0.3716,0.701
0.612673,1.0931,-0.2386,-0.9692,1.480
0.614147,1.0931,-0.2386,-0.9692,1.480
0.632909,1.0238,-0.7070,-0.7306,1.443
0.634393,1.0238,-0.7070,-0.7306,1.443
0.653523,0.6744,-1.2112,0.2900,1.416
0.654864,0.6744,-1.2112,0.2900,1.416
0.671963,-0.9963,-0.1783,0.5463,1.150
0.673101,-0.9963,-0.1783,0.5463,1.150
0.693869,-1.1359,0.1940,-0.0821,1.155
0.695479,-1.1359,0.1940,-0.0821,1.155
0.712552,-0.3789,0.2082,0.2397,0.494
0.714045,-0.3789,0.2082,0.2397,0.494
0.750157,-0.2232,0.2508,-0.1834,0.383
0.751939,-0.2232,0.2508,-0.1834,0.383
0.752685,-0.2880,0.1557,0.3130,0.453
0.753430,-0.2880,0.1557,0.3130,0.453
0.772519,-0.4784,0.1823,0.1540,0.535
0.773769,-0.4784,0.1823,0.1540,0.535
0.792304,-0.1898,-0.2744,0.2394,0.411
0.793510,-0.1898,-0.2744,0.2394,0.411
0.813015,0.0341,-0.2738,-0.0318,0.278
0.814349,0.0341,-0.2738,-0.0318,0.278
0.832283,-0.1002,-0.0406,-0.2070,0.234
0.833452,-0.1002,-0.0406,-0.2070,0.234
0.853912,-0.3486,0.4086,-0.3273,0.629
0.855235,-0.3486,0.4086,-0.3273,0.629
0.885859,-0.1953,0.3920,-0.4110,0.601
0.887623,-0.1953,0.3920,-0.4110,0.601
0.891785,0.1112,0.3710,-0.6482,0.755
0.892809,0.1112,0.3710,-0.6482,0.755
0.911992,0.3226,0.2331,-0.5343,0.666
0.913335,0.3226,0.2331,-0.5343,0.666
0.932251,0.2957,0.0530,-0.7429,0.801
